Year,Era,CCSM4,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,MRI-CGCM3
1987,present,1.085921054,-0.946292645,-0.190663178,0.278501506,0.167377118
1988,present,-0.882183323,-0.319628817,0.186170035,-0.388185402,0.182032572
1989,present,0.061786881,1.096642569,-0.853784248,0.256904346,0.394288628
1990,present,-2.083466507,-1.193115155,-0.548431566,0.235616662,0.548269418
1991,present,-1.628672075,-0.591143281,-2.554418942,-0.43509243,-0.034667665
1992,present,-1.117428161,-1.198294429,-1.642383979,-2.65568501,0.182223655
1993,present,0.032974571,-0.511304808,-0.381202402,-0.87952026,-0.522053302
1994,present,-0.890166389,-0.867951707,-1.0934201,-0.837741953,-1.57207847
1995,present,-0.593342784,-1.398535895,-0.917845597,-0.605645869,-0.371950585
1996,present,-0.559964011,-1.305541488,0.460022238,-1.129897928,-0.95136352
1997,present,-0.614422479,-0.641638418,-0.671378531,-1.484254918,-1.902442861
1998,present,-0.07926995,-0.214742775,0.511157755,0.561390611,0.903956172
1999,present,1.529028966,0.008492016,0.726872127,0.539226813,-0.157577282
2000,present,1.105136854,-0.230560228,-0.745117723,1.988918795,0.558535216
2001,present,2.039000766,-1.576617625,0.192961399,0.777282246,-0.454923858
2002,present,1.037263499,0.634142252,1.399141455,-0.045954282,0.567309279
2003,present,-0.12625072,1.925142292,0.425747543,0.416809499,-0.365703149
2004,present,1.381887526,0.402839076,0.369409345,-0.010758714,-1.271743766
2005,present,0.221046167,-0.275017141,1.364639999,0.699688862,1.010224045
2006,present,-0.413391687,0.20695167,1.159773254,0.369464411,0.116830944
2007,present,-0.141447203,0.415131208,-0.340975769,0.842935303,2.638204629
2008,present,0.726560424,1.345651914,-1.116781498,0.874411081,0.995569732
2009,present,0.981330833,1.854667437,-0.110129163,0.3580232,1.283045786
2010,present,0.295544788,0.631109257,2.267914348,1.405634285,0.465437685
2011,present,-0.081512159,0.442379084,0.147486084,0.370392634,-0.881326876
2012,present,0.378636945,-0.472696446,0.932056562,-0.741244495,-2.223223321
2013,present,0.048722959,1.033257872,0.322622446,-0.625820259,-0.419139907
2014,present,0.902728119,-0.600010837,1.076279221,-1.788639259,0.079980945
2015,present,-1.18899767,0.428869253,0.146680805,0.15757174,0.115889581
2016,present,-1.427055231,1.917815794,-0.522401926,1.495668784,0.919019158
2017,present,0.171746652,1.549681701,1.05945145,1.695654817,1.522488405
2018,present,-0.812391543,2.690354639,-0.471830978,2.00160445,0.106759137
2019,present,0.492310909,1.98613345,-0.994838991,1.470387158,3.037764145
2020,present,0.16262215,0.639776661,2.379842311,1.25828356,2.234690418
2021,present,0.634146318,0.077268704,-1.357512379,0.139813623,1.27144969
2022,present,0.699283478,1.830439796,0.67688602,0.938226226,1.486222833
