Year,Chinook,Sockeye,Coho,Pink,Chum
1900,,1047371,2053,52350,1200
1901,,907350,6501,40484,
1902,,1782015,,,
1903,,1149990,8616,84097,
1904,129,1689642,,27785,
1905,,1297114,,,
1906,,1323584,,,
1907,,1622987,800,,
1908,,1630677,,,
1909,,1730804,,,
1910,,1314672,36907,17170,
1911,,1077595,7788,23128,14788
1912,33,1330832,18979,55099,28232
1913,1918,833220,23773,30080,91152
1914,320,1056629,34475,80080,32388
1915,1054,1330031,29617,55665,65350
1916,1693,1002911,45899,267148,88778
1917,904,1456676,13323,9583,124579
1918,1449,1542707,21118,396125,343886
1919,597,884938,34931,4807,136754
1920,811,1772710,22493,297826,152206
1921,399,1828857,13251,30620,220721
1922,500,1248763,14952,359510,212789
1923,867,642872,18574,9235,87668
1924,483,877343,94433,1014992,110793
1925,1475,712658,30049,42704,102121
1926,830,510718,31842,677026,265168
1927,987,456263,101422,186710,171467
1928,438,785740,65703,45863,122552
1929,1546,1048984,36762,72733,185265
1930,238,20768,18809,67515,50437
1931,1252,714979,39919,169561,45644
1932,692,1578124,25272,812337,50399
1933,1088,595501,52745,325088,119823
1934,692,1108332,26995,536589,134036
1935,569,619330,18143,373112,190873
1936,792,980925,39763,596581,114497
1937,804,629318,19378,1205410,122928
1938,994,410989,23695,223314,71384
1939,1633,1482079,8834,272956,78707
1940,,250435,219,86845,24711
1941,1203,653909,30867,326641,161890
1942,1702,658503,11603,486106,150770
1943,1004,1247818,20092,96346,51992
1944,1699,401977,14238,568090,67311
1945,1101,220953,7866,441879,135973
1946,1792,869020,6621,906744,265470
1947,737,2084824,4610,472327,71829
1948,756,370329,937,1071556,368966
1949,763,542545,6009,91528,129139
1950,976,353192,14620,616696,92137
1951,696,259017,7464,19406,26499
1952,290,127068,9400,81502,151674
1953,508,295187,1370,136851,229764
1954,183,91566,195,348203,123733
1955,1266,352556,167,822537,291016
1956,570,670140,5179,177304,266860
1957,939,304788,5334,305109,216190
1958,511,320131,403,130916,189077
1959,690,428022,4814,67042,187079
1960,427,710349,7665,198368,152191
1961,429,323459,3095,445256,183170
1962,435,364753,1293,1518366,364452
1963,1744,408606,9933,1662363,112697
1964,1097,557806,2230,1683410,333755
1965,1592,630587,9163,1118157,120605
1966,639,222065,15019,683746,238913
1967,882,467874,9375,108981,75543
1968,674,878449,2200,1290660,223861
1969,3445,310063,18130,1779569,67785
1970,1226,1325811,15348,1287827,464607
1971,2010,1016136,14557,612290,353952
1972,464,378669,19615,72240,78356
1973,525,870354,22322,25472,8717
1974,255,662905,12245,70017,34454
1975,549,399593,53283,66165,25161
1976,2290,1163728,35167,395287,81403
1977,710,1972207,17430,604806,110452
1978,1603,1576283,20212,985114,120889
1979,1253,1049691,99129,1905198,188907
1980,2344,859966,119573,1093184,252521
1981,2694,1839469,78805,1162613,580332
1982,5236,1522482,303341,873390,390096
1983,5488,1824175,61927,321178,159412
1984,4318,2660619,110128,444804,63303
1985,1888,922151,191188,160128,22806
1986,3037,1645834,116633,647125,176640
1987,2651,1898838,150414,246775,127261
1988,7296,795841,370410,2997159,267126
1989,3542,1159287,68233,27712,1624
1990,9901,2093650,130131,550008,270004
1991,3288,1899294,165641,1169298,261422
1992,10832,1277449,310943,1554073,222134
1993,19515,1697351,229459,1648377,122360
1994,3917,1617990,231291,431004,227077
1995,5493,1724045,281518,2057998,380954
1996,3145,1958393,193246,189068,120891
1997,3120,770347,90908,844431,155905
1998,4503,1054439,129539,776988,128996
1999,3507,3116527,89610,1698651,140597
2000,2612,1775225,123222,428064,120957
2001,2939,1511587,131448,1281767,199003
2002,1521,1050553,49372,66050,54559
2003,3068,1100297,103896,502638,64044
2004,2520,704652,37,2380,505
2005,3408,1152133,6956,194045,8821
2006,2256,902709,39221,383547,61630
2007,1773,834547,73277,2019748,78553
2008,970,687270,161536,2389958,209325
2009,3319,1198105,110373,1408339,256425
2010,10380,1379785,159198,489781,581329
2011,6586,2497004,76792,905166,269503
2012,3687,1800121,33316,137706,171112
2013,2959,2405151,32312,871597,154965
2014,8846,620339,132459,352115,55152
2015,9204,1552495,82054,1978211,101017
2016,20144,1385673,94317,139622,118418
2017,3946,897489,226829,7077924,609236
2018,0,0,0,0,0
2019,0,421000,0,0,0
