Year,Chinook,Sockeye,Coho,Pink,Chum
1900,4838,3450480,32239,,
1901,3838,4826159,,2015,
1902,2932,3868101,34972,,
1903,1187,1826163,119541,10000,
1904,3190,2875118,103136,5180,
1905,2496,2142367,86913,,
1906,3640,3980462,23738,,
1907,4015,4232454,38059,,
1908,3028,2487848,73789,286374,
1909,3907,1915230,51500,153595,
1910,1598,1954717,44291,215382,
1911,689,2685949,21870,229551,6492
1912,686,2246467,17491,547171,24588
1913,1082,1663163,27634,590039,3822
1914,1329,1255444,32063,1726411,13094
1915,939,1664426,51819,252073,20331
1916,1038,3373055,49683,3181890,28962
1917,1457,3645914,30485,225335,15961
1918,2021,1894466,78169,2467325,81699
1919,1831,1619101,104233,282715,60102
1920,1637,1957636,88970,1977421,55175
1921,660,2857922,45764,67688,24779
1922,703,1097359,119724,2766257,223970
1923,1915,1090117,77554,928510,38653
1924,1002,1407525,120686,5435091,117883
1925,1911,1693057,92960,2673675,212492
1926,596,3015366,174475,4606694,324706
1927,4358,1155202,151548,5297305,417956
1928,2546,1592003,290645,1535313,726480
1929,3200,712126,144226,6108402,1057662
1930,4991,466409,228800,1651398,419011
1931,1541,1183074,170075,6839906,183737
1932,1873,1058446,52192,4719939,237023
1933,1140,1428373,91428,6573660,536935
1934,1300,1828953,89588,7641891,661341
1935,1393,1613519,76849,10780612,381753
1936,2548,2657195,183903,5647726,328218
1937,1257,1881304,164902,16787150,346238
1938,1232,1965943,154959,8397981,640119
1939,2272,1786445,112171,11741218,641693
1940,1233,1318233,148016,9997899,673265
1941,2571,1730201,199515,7601531,444521
1942,1329,1281529,106865,6092526,564924
1943,1133,1990557,59661,12479608,454205
1944,668,1817875,51675,4955354,506703
1945,2021,2041090,60122,9044544,559332
1946,129,838863,56425,9545871,298486
1947,99,993394,76230,8856666,294518
1948,1401,1260465,32364,5968487,330795
1949,851,892336,53737,4927779,699548
1950,2127,920885,40653,5304701,685109
1951,2402,467875,48792,2100377,483057
1952,1081,603677,51567,4576726,1243227
1953,2991,317150,41681,5174645,547574
1954,942,325157,66430,8439231,1250833
1955,2428,164482,34582,10794164,482425
1956,1123,271249,52844,3318841,705047
1957,1030,234253,34995,4716482,1208472
1958,1942,288014,20555,4038938,930698
1959,1837,330087,14512,1967058,733784
1960,1238,362525,54308,6737817,1300386
1961,864,407979,28579,3926023,518935
1962,1095,784664,54583,14113851,794727
1963,286,407040,57011,5480158,305061
1964,1306,498488,35535,12044341,1134163
1965,786,346237,26672,2886831,431340
1966,599,631646,67700,10755582,762766
1967,1753,308756,10354,187813,226681
1968,1936,760393,56629,8768122,750428
1969,2469,591481,48759,12500823,534933
1970,1089,917047,66424,12036598,919972
1971,920,478479,22844,4334492,1541444
1972,1300,222800,16588,2478737,1163772
1973,800,167341,3573,511708,317921
1974,545,418761,13631,2647196,249294
1975,101,136418,23659,2942801,84431
1976,766,641484,23714,11077992,740495
1977,585,623468,27920,6252405,1072313
1978,3228,1071782,48795,15004065,814345
1979,1907,630756,140629,11285809,358336
1980,529,651394,139154,17290615,1075557
1981,1418,1288980,121544,10336829,1345328
1982,1214,1203787,344823,8089780,1262587
1983,3839,1231989,157612,4603371,1085165
1984,4657,1950639,229524,10844293,649092
1985,4970,1842731,284166,7334825,430757
1986,4381,3188049,168690,11809223,1134397
1987,4613,1794023,192814,5075834,682025
1988,22394,2700899,303343,14564014,1426976
1989,106,1289536,2599,6825124,19972
1990,18806,5248404,293819,5983812,577743
1991,22234,5704152,324860,16642841,1029071
1992,24299,4167877,280085,3310644,679559
1993,41029,4378941,313467,34019420,588331
1994,22576,2878234,296319,8162564,738856
1995,18704,4488545,307795,42849309,1522810
1996,13071,4970390,201836,3486930,543751
1997,18735,2506463,381099,11035134,520331
1998,17349,3623712,425152,22062465,316115
1999,18299,4653057,296371,11898382,913867
2000,12293,2906466,333052,9927397,1194448
2001,23843,2659732,409193,19567163,1053763
2002,19320,1831014,503615,18328638,650178
2003,18603,4053857,351767,14067235,1151885
2004,28899,4165880,489871,21440641,1121855
2005,14411,3047142,396030,30139434,477416
2006,20283,1583816,553524,31693347,1081989
2007,17222,2012564,356063,24809213,728912
2008,17176,1819116,300779,8788476,908030
2009,7219,1726971,288744,27648943,955808
2010,14550,1436606,266431,8864796,734806
2011,18454,2266712,188014,16642437,823249
2012,14785,2231044,208379,16873171,866334
2013,33973,2569779,268667,28167703,791887
2014,8380,3250833,471491,10673982,336558
2015,8087,3097344,410502,33010891,770283
2016,7478,2063566,209000,3234000,403879
2017,7094,2467246,359823,27103276,1891226
2018,3000,1705000,408000,6009000,460000
2019,0,1700000,0,0,0
