Year,Chinook,Sockeye,Coho,Pink,Chum
1900,3462,854477,88175,50565,
1901,6558,781438,,313806,
1902,2500,800044,,375408,
1903,4600,814345,,398926,
1904,5667,734230,,573967,
1905,20000,420000,,,
1906,2276,380030,,,
1907,869,281249,,252373,
1908,,583432,,18018,
1909,3067,467100,,,
1910,974,290115,32560,196871,
1911,1358,430689,53944,156349,
1912,6181,544962,59801,401892,495
1913,3310,518845,406,425574,70
1914,3043,653509,55193,224906,
1915,7338,976453,19013,465250,2175
1916,14272,983130,217951,3316352,45985
1917,14615,1305329,249042,2599408,370309
1918,20323,1914469,254844,4308779,1342576
1919,20268,1621117,203033,1008312,558522
1920,29525,1146861,227167,5314747,260963
1921,11469,783529,9693,12644,3499
1922,10433,777690,8962,2421272,50517
1923,10955,988286,51612,2447766,111582
1924,17192,1036433,191350,8396087,385274
1925,23130,310056,294802,4085310,780960
1926,23567,406078,309056,11153883,587351
1927,45139,459409,669166,6124911,655159
1928,48972,714935,494676,8034200,468260
1929,47690,1232961,249955,9613500,1282150
1930,26921,1037002,705444,6776860,979800
1931,36095,919570,146999,4860083,560271
1932,37310,1086075,99856,3466435,350895
1933,23386,755832,171801,3030586,285824
1934,16858,1135529,100331,6792072,261479
1935,6203,286770,113279,2618185,471050
1936,14564,1065976,43783,9581539,218550
1937,16061,1161270,105597,3334462,227468
1938,12796,883856,52735,7547696,250224
1939,10620,754277,43061,2078528,273053
1940,6516,512160,318561,11542576,532327
1941,12707,518959,613582,3785693,507538
1942,26768,658618,773626,7003688,702472
1943,20542,865458,259056,10815321,475877
1944,10618,910554,359826,8346755,1208587
1945,22011,999603,368001,11632238,1754087
1946,26022,661140,442711,8026032,757173
1947,15807,553489,344972,8077210,706189
1948,5981,380846,301723,2460760,457618
1949,9295,535172,288680,6089394,827665
1950,18335,875036,220642,1850770,455947
1951,21109,663599,248360,802998,549255
1952,29466,1210640,228512,2167840,550754
1953,12296,621532,66878,1996579,352760
1954,15765,1105878,250341,12286,6344
1955,20563,683750,228904,27072,4676
1956,12341,738348,197582,4526585,507258
1957,9190,637247,107081,650869,706888
1958,19078,345110,125367,6298828,687448
1959,11357,327166,191942,1175,67
1960,10325,428733,238744,1842400,382178
1961,8899,656911,195858,2299887,224508
1962,16868,804324,262038,6744196,892395
1963,13259,458460,339892,5296925,942985
1964,12858,779991,352343,4207444,539109
1965,16492,945020,168111,2461274,201406
1966,12108,1130278,189873,2700135,426744
1967,13497,565708,247239,2626916,274454
1968,11276,721201,309694,2456710,343412
1969,17424,1020513,94304,4829427,321221
1970,20432,1243403,252641,2810642,231349
1971,20142,741945,327697,7312730,579552
1972,23003,976115,124670,57090,46088
1973,22638,473044,199019,2065844,740017
1974,20602,741340,76041,458619,89210
1975,22325,546634,84109,4453041,101286
1976,32755,1009071,160494,3022426,370657
1977,22864,943943,179417,4536459,573166
1978,30435,505509,312930,2917499,489771
1979,20078,369583,315745,15638258,349615
1980,8643,208724,337123,14161023,482214
1981,20782,784469,397163,20558304,1888822
1982,47653,2240128,630162,20402259,1336695
1983,53481,761455,339644,13980330,1044472
1984,39673,1253270,579814,21569914,1247023
1985,43390,1429197,1023765,25129314,1288543
1986,42140,1288212,425727,11410945,1705309
1987,42049,1742059,175652,29358842,1953777
1988,31805,768347,478531,11831407,1850523
1989,31975,1153805,424953,21844632,1001378
1990,22163,911607,524299,44165077,967384
1991,35355,1734544,641861,37135561,352321
1992,41306,1771612,619572,8637116,334376
1993,32005,1851133,445612,5761097,1186365
1994,49326,1515320,1058175,36886301,1058227
1995,68783,1523464,965017,16065231,758545
1996,58657,3000602,459319,26048812,2103559
1997,53728,4163400,83116,25836563,2227193
1998,72346,1717275,194680,28694697,1271950
1999,64557,2036707,170076,45013533,2960822
2000,33153,1431540,714288,38885528,5163769
2001,41407,2263274,494179,35246524,3099796
2002,40490,2263328,650518,18950931,6373517
2003,49227,2730016,521917,51975683,3803623
2004,39142,1892525,619884,23531483,2001918
2005,36118,1988771,536675,59896419,1996956
2006,31634,2524501,763720,21722036,2181580
2007,40056,3228937,328640,63464644,3578941
2008,12454,1301067,550629,42353653,5075195
2009,10810,1919145,300615,18358203,3220813
2010,10432,1994585,357167,71178516,4348638
2011,18941,3466741,343175,32699946,1841404
2012,12002,3680451,201858,26749258,3746053
2013,10421,2367814,644532,89305125,3884041
2014,11659,3305224,615676,44309676,1536940
2015,23294,3399979,217500,98031980,2526771
2016,12689,2891240,477360,11988842,1977727
2017,15207,1437461,558955,48591211,5391052
2018,8103,1301783,509139,23937345,3437803
2019,18000,2555000,504000,47446000,5342000
