Year,Chinook,Sockeye,Coho,Pink,Chum
1900,16734,2049011,297555,4321349,32952
1901,17361,1363825,281440,7525090,
1902,11664,2076647,235461,8100699,
1903,42474,2060581,653569,5528547,
1904,37118,3416470,517856,5178207,358378
1905,68613,2610549,398981,3060358,1660981
1906,42084,2620860,659220,7036374,1374459
1907,89149,2201071,502646,11973899,1354929
1908,101160,2544671,457860,13592326,1824637
1909,113886,2791461,332376,9497508,699381
1910,175604,2986886,646065,9425310,1996840
1911,147168,2896988,901838,21408907,2784721
1912,405780,3018060,1099442,22011191,5342331
1913,353110,2218591,577189,25295606,2459777
1914,339004,3501203,914809,12567376,5444154
1915,281962,2825543,870535,30351380,3593040
1916,256082,2381350,1587607,19940350,4741634
1917,327292,2622899,1469396,40327465,6851774
1918,411435,2821198,1629366,39287711,9352573
1919,579921,3262799,1804055,24330891,9268489
1920,351789,2743624,1148051,18121431,8613368
1921,446310,1498933,911568,7735444,1846832
1922,344852,1900123,1258885,24001889,3728616
1923,790461,2410357,1342071,39879249,3912562
1924,836004,2506115,1214898,30029343,7266500
1925,600102,1843518,1211862,28246398,8188085
1926,452920,2044708,1184658,32193383,6105808
1927,627201,1444563,1284537,8163332,2219770
1928,384581,1350871,2159409,36051196,4871346
1929,455491,1901461,1368442,21848494,2626905
1930,610004,2587439,1998507,43483232,2708504
1931,460195,1823085,1152099,27243530,2850746
1932,626845,1652065,1389406,22605600,5593734
1933,427189,1010460,1223081,25783195,4547402
1934,339032,1241883,1956014,50327890,3805510
1935,641457,1892836,1759654,30247606,5083541
1936,681063,2403397,1799813,50747387,7605896
1937,879478,2187191,1399754,35166387,5556010
1938,757117,2535417,2199625,30288240,4556394
1939,652066,2487146,1122183,23721956,3388759
1940,428401,1507340,1838309,29093692,4624767
1941,612850,1674412,2515069,60061213,2959482
1942,558406,1566489,2211103,33127200,5441724
1943,398800,1123759,1680198,18038752,6833316
1944,328290,1722276,1306203,19344068,6881172
1945,438114,1683289,2587615,21654516,3318481
1946,568488,888241,2366848,24821810,4010237
1947,496098,746170,1546079,14041563,3360303
1948,480096,524525,2145853,14352448,4004499
1949,480063,489799,2279890,43920676,2894344
1950,378672,552202,1651905,9423824,4778742
1951,474360,819621,3310226,22220113,4123010
1952,528407,919316,1743753,9802657,4178549
1953,498345,1376454,1163581,4981409,3541901
1954,397620,1220157,1770807,8909481,4243671
1955,373552,747330,1338477,9333972,1528202
1956,239148,914778,916542,13728271,2701261
1957,300046,1071257,1218479,6857895,3413051
1958,325154,1008235,955349,9837907,2787025
1959,364740,890638,1024390,7851298,1291409
1960,309989,588288,720808,2985021,1019152
1961,229538,744484,889419,12637503,2559269
1962,205561,772236,1222549,11585176,1996383
1963,258482,677921,1274508,19145299,1478744
1964,357191,923923,1587910,18581462,1936151
1965,287233,1085318,1548265,10879934,1473867
1966,308144,1054119,1227305,20438170,3273157
1967,300987,971541,866226,3111251,1810412
1968,331614,830775,1543095,25085399,2644259
1969,313816,811576,596490,4869865,561418
1970,321961,667908,758667,10657030,2445686
1971,333978,623252,914382,9344805,1946102
1972,286829,916720,1508534,12399784,2942365
1973,343623,1011453,836348,6455162,1832173
1974,346593,687398,1278179,4888753,1682603
1975,300707,245191,427357,4026520,686615
1976,241801,595259,823662,5329565,1030877
1977,285220,1085143,944750,13843562,738723
1978,401393,788319,1714508,21243378,868963
1979,367616,1073885,1284635,10977908,888276
1980,323270,1120416,1136685,14478306,1651187
1981,271990,1079625,1406846,18967933,849692
1982,276868,1489963,2043945,24190239,1329338
1983,277380,1556536,1933897,37524005,1168287
1984,258347,1213841,1843671,24630557,4089894
1985,241191,1861462,2563864,51960425,3273189
1986,265336,1442298,3403962,46156323,3359131
1987,289511,1377707,1543119,10281145,2721509
1988,244513,1460358,1046387,11206533,3533109
1989,278755,2124803,2204083,59460187,1968821
1990,348458,2155717,2868218,32342002,2217894
1991,339534,2063585,3197004,61926339,3336042
1992,228287,2666422,3696207,34963308,4936516
1993,299729,3190960,3665435,57299350,7879870
1994,222702,2392412,5720885,57274877,10403083
1995,216055,1795331,3345678,47965506,11225693
1996,221831,2799848,3156938,64629714,16043381
1997,301014,2477416,1974507,28983276,11789226
1998,238790,1375356,2989080,42535402,15695285
1999,201601,1160730,3629384,77848279,14930937
2000,227584,1229354,1957028,20313426,15910909
2001,251606,2035230,3298803,67055991,8754391
2002,389401,806447,3242498,45331007,7455007
2003,411886,1525356,2498375,52515632,11115085
2004,497000,2038000,3085000,45333000,11372000
2005,447992,1607835,3002784,59182242,6427530
2006,371641,1333496,2091875,11694505,14002610
2007,359230,1904664,2062603,44884740,9416164
2008,241101,436302,2381473,15974351,9053088
2009,268633,925469,2635482,38101012,9660091
2010,261543,717588,2581503,24208300,9474723
2011,346068,1242445,2311125,59088224,10730136
2012,279935,946999,2086721,21304390,12374408
2013,241281,974653,3870617,94786940,12573502
2014,428331,1669932,3789619,37193746,6679647
2015,350529,1528305,2146222,35063710,11523173
2016,311116,1496268,2324057,18359527,9079666
2017,165000,664000,2751000,34611000,9833536
2018,148000,460000,1250000,7508000,8687000
2019,0,544000,0,0,0
